p0;p0->0.2;0.2;-8.3319;-10.1204
p1;p1->0.2;0.2;-10.0366;-8.1408
p2;p2->0.2;0.2;-7.502;-5.9214
p3;p3->0.2;0.2;-9.3205;-3.7922
p4;p4->0.2;0.2;-7.4449;-5.8208
p5;p5->0.2;0.2;-1.1972;-1.4051
p6;p6->0.2;0.2;2.0589;1.1524
p7;p7->0.2;0.2;3.5548;-2.4284
p8;p8->0.2;0.2;6.2621;-6.1776
p9;p9->0.2;0.2;8.6596;-7.0335
p10;p10->0.2;0.2;9.6091;-5.0049
p11;p11->0.2;0.2;6.6758;-1.4931
p12;p12->0.2;0.2;2.0777;1.022
p13;p13->0.2;0.2;-1.2629;-1.341
p14;p14->0.2;0.2;-7.4831;-5.8829
p15;p15->0.2;0.2;-10.014;-8.1454
p16;p16->0.2;0.2;-8.3901;-10.0307
